Fullname,CalledClass,CalledMethod,isSpecific,ReturnType
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testBadCode,(Private),settings,True,ViewSettings
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testNullAddsAreIgnored,DocumentConverter,(constructor),True,DocumentConverter
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testNullAddsAreIgnored,(Private),view,True,View
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testNullAddsAreIgnored,DocumentConverter,convert,True,Collection<Document>
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testNullAddsAreIgnored,(Private),doc,True,CouchDocument
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testNullAddsAreIgnored,(Private),settings,True,ViewSettings
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testNullAddsAreIgnored,(Non_specific),assertThat,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testNullAddsAreIgnored,Collection<Document>,size,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testNullAddsAreIgnored,(Non_specific),is,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testQuoteRemoval,DocumentConverter,(constructor),True,DocumentConverter
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testQuoteRemoval,(Private),view,True,View
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testQuoteRemoval,DocumentConverter,convert,True,Collection<Document>
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testQuoteRemoval,(Private),doc,True,CouchDocument
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testQuoteRemoval,(Private),settings,True,ViewSettings
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testQuoteRemoval,(Non_specific),assertThat,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testQuoteRemoval,Collection<Document>,size,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testQuoteRemoval,(Non_specific),is,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testQuoteRemoval,(Non_specific),assertThat,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testQuoteRemoval,Collection<Document>,iterator,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testQuoteRemoval,(Non_specific),next,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testQuoteRemoval,(Non_specific),get,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testQuoteRemoval,(Non_specific),is,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testNoReturnValue,DocumentConverter,(constructor),True,DocumentConverter
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testNoReturnValue,(Private),view,True,View
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testNoReturnValue,DocumentConverter,convert,True,Collection<Document>
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testNoReturnValue,(Private),doc,True,CouchDocument
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testNoReturnValue,(Private),settings,True,ViewSettings
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testNoReturnValue,(Non_specific),assertThat,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testNoReturnValue,Collection<Document>,size,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testNoReturnValue,(Non_specific),is,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testDefaultValue,DocumentConverter,(constructor),True,DocumentConverter
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testDefaultValue,(Private),view,True,View
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testDefaultValue,DocumentConverter,convert,True,Collection<Document>
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testDefaultValue,(Private),doc,True,CouchDocument
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testDefaultValue,(Private),settings,True,ViewSettings
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testDefaultValue,(Non_specific),assertThat,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testDefaultValue,Collection<Document>,size,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testDefaultValue,(Non_specific),is,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testDefaultValue,(Non_specific),assertThat,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testDefaultValue,Collection<Document>,iterator,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testDefaultValue,(Non_specific),next,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testDefaultValue,(Non_specific),get,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testDefaultValue,(Non_specific),is,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testNullValue,DocumentConverter,(constructor),True,DocumentConverter
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testNullValue,(Private),view,True,View
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testNullValue,DocumentConverter,convert,True,Collection<Document>
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testNullValue,(Private),doc,True,CouchDocument
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testNullValue,(Private),settings,True,ViewSettings
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testNullValue,(Non_specific),assertThat,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testNullValue,Collection<Document>,size,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testNullValue,(Non_specific),is,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testNullValue,(Non_specific),assertThat,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testNullValue,Collection<Document>,iterator,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testNullValue,(Non_specific),next,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testNullValue,(Non_specific),get,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testNullValue,(Non_specific),is,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testNullValue,(Non_specific),nullValue,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testLongValue,DocumentConverter,(constructor),True,DocumentConverter
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testLongValue,(Private),view,True,View
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testLongValue,DocumentConverter,convert,True,Collection<Document>
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testLongValue,(Private),doc,True,CouchDocument
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testLongValue,(Private),settings,True,ViewSettings
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testLongValue,(Non_specific),assertThat,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testLongValue,Collection<Document>,size,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testLongValue,(Non_specific),is,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testLongValue,(Non_specific),assertThat,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testLongValue,Collection<Document>,iterator,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testLongValue,(Non_specific),next,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testLongValue,(Non_specific),getField,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testLongValue,(Non_specific),is,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testDateString,DocumentConverter,(constructor),True,DocumentConverter
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testDateString,(Private),view,True,View
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testDateString,DocumentConverter,convert,True,Collection<Document>
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testDateString,(Private),doc,True,CouchDocument
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testDateString,(Private),settings,True,ViewSettings
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testDateString,(Non_specific),assertThat,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testDateString,Collection<Document>,size,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testDateString,(Non_specific),is,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testDateString,(Non_specific),assertThat,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testDateString,Collection<Document>,iterator,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testDateString,(Non_specific),next,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testDateString,(Non_specific),getField,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testDateString,(Non_specific),is,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testDateObject,DocumentConverter,(constructor),True,DocumentConverter
