repo,description
roghughe/captaindebug,Samples from Captain Debug's Blog
apache/commons-fileupload,Mirror of Apache Commons FileUpload
JorenSix/TarsosDSP,A Real-Time Audio Processing Framework in Java
hypercube1024/firefly,Firefly is an asynchronous web framework for rapid development of high-performance web application.
MoriTanosuke/glacieruploader,A simple java command line application for Amazon Glacier
apache/gora,Mirror of Apache Gora
itstamen/rop,rapid open platform
taksan/skype-java-api,Skype API for Java - based on Skype4Java library
magefree/mage,Magic Another Game Engine
yegor256/s3auth,Amazon S3 HTTP Basic Auth Gateway
koush/AndroidAsync,Asynchronous socket - http(s) (client+server) and websocket library for android. Based on nio - not threads.
CoreMedia/jangaroo-tools,AS3 w/o Flash Plugin
apache/maven,Apache Maven core
jacoco/jacoco,:microscope: JaCoCo - Java Code Coverage Library
gary-rowe/multibit-merchant,A free and open source Bitcoin ecommerce platform - with several representative clients (online shop - admin etc). Uses Dropwizard - HAL - MongoDB etc
laiweiwei/eweb4j-framework,easy web framework for java 
chrisvest/stormpot,A fast object pool for the JVM
julienchastang/charts4j,Let the computer in the cloud build your charts
apache/mina-sshd,Mirror of Apache MINA SSHD
mheath/adbcj,Asynchronous Database Connectivity in Java
apache/commons-collections,Mirror of Apache Commons Collections
roundrop/facebook4j,A most easily usable Facebook API wrapper in Java.
dooApp/FXForm2,Dynamic JavaFX form generation
linqs/psl,The PSL software from the University of Maryland and the University of California Santa Cruz
58code/Gaea,58.com跨平台高性能高可用中间层服务框架
apache/archiva,Apache Archiva
ArcBees/GWTP,A complete model-view-presenter framework to simplify your next GWT project.
Netflix/eureka,AWS Service registry for resilient mid-tier load balancing and failover.
jiaqi/jmxterm,Interactive command line JMX client
dwdyer/uncommons-maths,Random number generators - probability distributions - combinatorics and statistics for Java.
henryyan/activiti-study,学习Activiti过程中的一些单元测试积累
eclipse/birt,Eclipse BIRT™ The open source reporting and data visualization project. 
Pi4J/pi4j,Java I/O library for Raspberry Pi (GPIO - I2C - SPI - UART)
oblac/jodd,Jodd! Lightweight. Java. Use what you like.
eclipse/egit,Eclipse Git Team Provider (EGit) project repository (egit)
Activiti/Activiti,Activiti is a light-weight workflow and Business Process Management (BPM) Platform targeted at business people - developers and system admins. Its core is a super-fast and rock-solid BPMN 2 process engine for Java. It's open-source and distributed under the Apache license. Activiti runs in any Java application - on a server - on a cluster or in the cloud. It integrates perfectly with Spring - it is extremely lightweight and based on simple concepts. 
aadnk/ProtocolLib,Provides read and write access to the Minecraft protocol with Bukkit.
kaitoy/pcap4j,A Java library for capturing - crafting - and sending packets.
VUE/VUE,Visual Understanding Environment
airlift/aircompressor,A port of Snappy - LZO - LZ4 - and Zstandard  to Java
wro4j/wro4j,Free and Open Source Java project which brings together almost all the modern web tools: JsHint - CssLint - JsMin - Google Closure compressor - YUI Compressor - UglifyJs - Dojo Shrinksafe - Css Variables Support - JSON Compression - Less - Sass - CoffeeScript and much more. In the same time - the aim is to keep it as simple as possible and as extensible as possible in order to be easily adapted to application specific needs.
graphhopper/graphhopper,An open source routing engine. Use it as Java library or server. With OpenStreetMap.
yandex-qatools/htmlelements,Html Elements is a Java framework providing easy-to-use way of interaction with web-page elements in web-page tests.
square/dagger,A fast dependency injector for Android and Java.
debop/hibernate-redis,hibernate 2nd level cache privder using redis
linkedin/parseq,Asynchronous Java made easier
JodaOrg/joda-beans,Java library to provide an API for beans and properties.
bitstorm/Wicket-tutorial-examples,This repo contains code examples for my personal Wicket tutorial
apache/opennlp,Mirror of Apache OpenNLP
iBotPeaches/Apktool,A tool for reverse engineering Android apk files
thinkaurelius/faunus,Graph Analytics Engine
LMAX-Exchange/disruptor,High Performance Inter-Thread Messaging Library
dwdyer/watchmaker,The Watchmaker Framework for Evolutionary Computation
JesusFreke/smali,smali/baksmali
NoCheatPlus/NoCheatPlus,Anti cheating plugin for Minecraft (Bukkit/Spigot).
Ninja-Squad/DbSetup,An API for populating a database in unit tests
haraldk/TwelveMonkeys,TwelveMonkeys ImageIO: Additional plug-ins and extensions for Java's ImageIO
Renanse/Ardor3D,Ardor3D is a free Java based - professionally oriented - open source 3D graphics engine.
sarxos/webcam-capture,The goal of this project is to allow integrated or USB-connected webcams to be accessed directly from Java. Using provided libraries users are able to read camera images and detect motion. Main project consist of several sub projects - the root one - which contains required classes - build-in webcam driver compatible with Windows - Linux and Mac OS - which can stream images as fast as your camera can serve them (up to 50 FPS). Main project can be used standalone - but user is able to replace build-in driver with different one - such as OpenIMAJ - GStreamer - V4L4j - JMF - LTI-CIVIL - FMJ - etc.
mikera/vectorz,Fast and flexible numerical library for Java featuring N-dimensional arrays
UweTrottmann/tmdb-java,A Java wrapper around themoviedb.org API v3 using retrofit2.
jcodec/jcodec,JCodec main repo
