repo,description
spring-cloud/spring-cloud-kubernetes,Kubernetes integration with Spring Cloud Discovery Client - Configuration - etc...
mzheravin/exchange-core,Ultra-fast exchange engine
etcd-io/jetcd,etcd java client
crossoverJie/JCSprout,👨‍🎓 Java Core Sprout : basic - concurrent - algorithm 
wuyouzhuguli/SpringAll,循序渐进，学习Spring Boot、Spring Boot & Shiro、Spring Cloud、Spring Security & Spring Security OAuth2，博客Spring系列源码
Twitter4J/Twitter4J,Twitter4J is an open-sourced - mavenized and Google App Engine safe Java library for the Twitter API which is released under the Apache License 2.0.
Angel-ML/angel,A Flexible and Powerful Parameter Server for large-scale machine learning
uber/marmaray,Generic Data Ingestion & Dispersal Library for Hadoop
firebase/firebase-android-sdk,Firebase Android SDK
MorphiaOrg/morphia,MongoDB object-document mapper in Java based on https://github.com/mongodb/mongo-java-driver
microservices-patterns/ftgo-application,Example code for the book Microservice patterns
linkedin/TonY,TonY is a framework to natively run deep learning frameworks on Apache Hadoop.
eclipse-vertx/vert.x,Vert.x is a tool-kit for building reactive applications on the JVM
Mojang/brigadier,Brigadier is a command parser & dispatcher - designed and developed for Minecraft: Java Edition.
googleapis/google-cloud-java,Google Cloud Client Library for Java
tmobile/pacbot,PacBot (Policy as Code Bot)
selenide/selenide,Concise UI Tests with Java!
SAP/vulnerability-assessment-tool,Analyses your Java and Python applications for open-source dependencies with known vulnerabilities - using both static analysis and testing to determine code context and usage for greater accuracy.  https://eclipse.github.io/steady/
rengwuxian/HenCoderPlus,HenCoder Plus 的课上代码分享
consenlabs/token-core-android,a blockchain private key management library on android
theonedev/onedev,Super Easy All-In-One DevOps Platform
apache/incubator-iceberg,Apache Iceberg (Incubating)
palantir/conjure,Strongly typed HTTP/JSON APIs for browsers and microservices
Meituan-Dianping/zebra,美团点评集团统一使用的MySQL数据库访问层的中间件。主要提供对业务开发透明、读写分库、分库分表能力，并提供了端到端SQL监控的集成方案。
apache/griffin,Mirror of Apache griffin 
apache/servicecomb-pack,Apache ServiceComb Pack is an eventually data consistency solution for micro-service applications. ServiceComb Pack currently provides TCC and Saga distributed transaction co-ordination solutions by using Alpha as a transaction coordinator and Omega as an transaction agent .
LinShunKang/MyPerf4J,High performance Java APM. Powered by ASM. Try it. Test it. If you feel its better - use it.
gojek/feast,Feature Store for Machine Learning
heibaiying/spring-samples-for-all,spring、spring-boot、spring-cloud 常用整合用例
didi/DDMQ,DDMQ is a distributed messaging product with low latency - high throughput and high availability.
FoundationDB/fdb-record-layer,A record-oriented store built on FoundationDB
apache/incubator-shardingsphere,Distributed database middleware
siddhi-io/siddhi,Stream Processing and Complex Event Processing Engine
digitalsonic/geektime-spring-family,极客时间视频课程《玩转Spring全家桶》
moquette-io/moquette,Java MQTT lightweight broker
cheese10yun/spring-guide,:octocat: Spring 실전 가이드
halo-dev/halo,✍ Halo 一款现代化的个人独立博客系统
quarkusio/quarkus-quickstarts,Quarkus quickstart code
opendistro-for-elasticsearch/sql,Open Distro for Elasticsearch SQL Plugin
opendistro-for-elasticsearch/security,Open Distro for Elasticsearch Security plugin
everitoken/evt4j,Official Java SDK for everiToken public chain. https://www.everitoken.io
seata/seata,:fire: Seata is an easy-to-use - high-performance - open source distributed transaction solution.
apache/dubbo,Apache Dubbo is a high-performance - java based - open source RPC framework.

